日期,大区,产品品类,产品名称,渠道类型,销量,销售额,营销费用
2025-01-03 00:17:51.574314862,华东大区,汽车零部件,液压底盘件,线下直销,94,121531.02,16959.46
2025-01-03 02:42:45.153030606,华东大区,智能硬件,智能手环V2,线下直销,99,27837.25,3170.26
2025-01-03 05:07:38.731746349,华北大区,汽车零部件,精密齿轮,线上电商,23,28578.38,2876.43
2025-01-03 07:32:32.310462092,华东大区,智能硬件,激光传感器,线上电商,32,8953.6,1239.69
2025-01-03 09:57:25.889177835,华东大区,汽车零部件,精密齿轮,线下直销,64,71016.81,6554.69
2025-01-03 12:22:19.467893578,华南大区,智能硬件,车载智能模块,线上电商,29,8565.78,1113.1
2025-01-03 14:47:13.046609321,华东大区,汽车零部件,轻量化轮毂,线下直销,32,35512.95,3879.33
2025-01-03 17:12:06.625325065,西部大区,汽车零部件,精密齿轮,渠道分销,80,90071.42,13037.22
2025-01-03 19:37:00.204040808,华南大区,医疗耗材,诊断试剂盒,渠道分销,63,10349.02,1271.41
2025-01-03 22:01:53.782756551,华东大区,智能硬件,车载智能模块,线下直销,42,13783.64,1248.22
2025-01-04 00:26:47.361472294,华东大区,智能硬件,智能手环V2,线下直销,72,22650.96,2683.53
2025-01-04 02:51:40.940188037,华东大区,智能硬件,智能手环V2,线下直销,37,11437.94,1597.96
2025-01-04 05:16:34.518903780,华东大区,智能硬件,车载智能模块,线下直销,53,15846.33,1341.09
2025-01-04 07:41:28.097619523,华东大区,智能硬件,激光传感器,渠道分销,70,22730.35,2337.58
2025-01-04 10:06:21.676335267,华北大区,汽车零部件,轻量化轮毂,线下直销,73,93548.26,8734.28
2025-01-04 12:31:15.255051010,华北大区,医疗耗材,高分子医用导管,线下直销,32,4828.96,461.12
2025-01-04 14:56:08.833766753,华东大区,汽车零部件,液压底盘件,线上电商,77,95641.88,10542.33
2025-01-04 17:21:02.412482496,华南大区,医疗耗材,高分子医用导管,线上电商,20,2843.55,260.39
2025-01-04 19:45:55.991198239,华东大区,汽车零部件,液压底盘件,线上电商,85,105628.68,12608.18
2025-01-04 22:10:49.569913982,华南大区,智能硬件,激光传感器,线上电商,86,25829.99,2410.82
2025-01-05 00:35:43.148629725,华东大区,汽车零部件,液压底盘件,线下直销,62,78907.5,9509.52
2025-01-05 03:00:36.727345469,华南大区,智能硬件,激光传感器,渠道分销,99,29590.04,3075.51
2025-01-05 05:25:30.306061212,华南大区,汽车零部件,液压底盘件,线上电商,71,84025.68,11498.89
2025-01-05 07:50:23.884776955,华东大区,医疗耗材,诊断试剂盒,线上电商,52,7794.33,1001.14
2025-01-05 10:15:17.463492698,华南大区,汽车零部件,轻量化轮毂,线下直销,22,25688.91,3479.33
2025-01-05 12:40:11.042208441,华东大区,智能硬件,车载智能模块,线下直销,77,23409.14,2116.06
2025-01-05 15:05:04.620924184,华南大区,智能硬件,车载智能模块,线上电商,44,12178.38,1269.19
2025-01-05 17:29:58.199639928,华北大区,医疗耗材,高分子医用导管,渠道分销,72,11790.57,1022.43
2025-01-05 19:54:51.778355671,华东大区,智能硬件,智能手环V2,渠道分销,92,25138.08,2988.38
2025-01-05 22:19:45.357071414,华东大区,汽车零部件,轻量化轮毂,线上电商,37,40093.64,5750.92
2025-01-06 00:44:38.935787157,华南大区,汽车零部件,精密齿轮,线上电商,19,23999.31,1980.19
2025-01-06 03:09:32.514502900,华北大区,汽车零部件,轻量化轮毂,渠道分销,72,83054.27,11574.14
2025-01-06 05:34:26.093218643,华南大区,智能硬件,智能手环V2,渠道分销,18,5041.57,624.64
2025-01-06 07:59:19.671934386,华东大区,智能硬件,激光传感器,线下直销,47,13773.26,1213.1
2025-01-06 10:24:13.250650130,华东大区,汽车零部件,轻量化轮毂,线上电商,64,79088.9,10098.83
2025-01-06 12:49:06.829365873,华东大区,汽车零部件,液压底盘件,渠道分销,90,97477.18,11972.81
2025-01-06 15:14:00.408081616,华东大区,汽车零部件,轻量化轮毂,线上电商,11,13959.8,1571.41
2025-01-06 17:38:53.986797359,华东大区,汽车零部件,精密齿轮,线下直销,86,99666.54,9008.45
2025-01-06 20:03:47.565513102,华北大区,智能硬件,车载智能模块,线下直销,75,22230.54,2413.78
2025-01-06 22:28:41.144228845,华南大区,汽车零部件,液压底盘件,线下直销,81,87805.97,7980.73
2025-01-07 00:53:34.722944588,华东大区,汽车零部件,轻量化轮毂,渠道分销,81,98220.83,9292.77
2025-01-07 03:18:28.301660332,华东大区,汽车零部件,精密齿轮,线上电商,76,98369.74,13533.0
2025-01-07 05:43:21.880376075,华南大区,智能硬件,智能手环V2,渠道分销,73,23703.85,2317.42
2025-01-07 08:08:15.459091818,华北大区,汽车零部件,液压底盘件,渠道分销,90,118759.99,16123.19
2025-01-07 10:33:09.037807561,华北大区,汽车零部件,液压底盘件,渠道分销,78,101248.71,10571.55
2025-01-07 12:58:02.616523304,华东大区,医疗耗材,诊断试剂盒,线下直销,82,12416.27,1512.99
2025-01-07 15:22:56.195239047,华东大区,汽车零部件,精密齿轮,渠道分销,83,102830.49,13144.08
2025-01-07 17:47:49.773954791,华东大区,汽车零部件,精密齿轮,线下直销,32,39456.23,3262.36
2025-01-07 20:12:43.352670534,华东大区,智能硬件,智能手环V2,渠道分销,22,7016.93,1001.65
2025-01-07 22:37:36.931386277,华南大区,汽车零部件,精密齿轮,渠道分销,19,23275.15,1939.12
2025-01-08 01:02:30.510102020,西部大区,医疗耗材,诊断试剂盒,线上电商,91,13059.12,1305.34
2025-01-08 03:27:24.088817763,华东大区,汽车零部件,精密齿轮,线上电商,89,104995.08,10481.39
2025-01-08 05:52:17.667533506,华东大区,汽车零部件,液压底盘件,线下直销,77,85047.07,9929.75
2025-01-08 08:17:11.246249249,华东大区,汽车零部件,液压底盘件,渠道分销,36,42988.56,5843.51
2025-01-08 10:42:04.824964993,华南大区,医疗耗材,诊断试剂盒,线下直销,15,2064.12,170.97
2025-01-08 13:06:58.403680736,华东大区,医疗耗材,高分子医用导管,线下直销,35,5420.98,714.3
2025-01-08 15:31:51.982396479,华北大区,汽车零部件,液压底盘件,线下直销,66,86373.41,11551.87
2025-01-08 17:56:45.561112222,华东大区,医疗耗材,高分子医用导管,线下直销,68,10975.47,1578.07
2025-01-08 20:21:39.139827965,华东大区,汽车零部件,液压底盘件,线上电商,24,30895.74,4552.57
2025-01-08 22:46:32.718543708,华南大区,汽车零部件,轻量化轮毂,渠道分销,43,55095.88,4928.47
2025-01-09 01:11:26.297259451,华东大区,智能硬件,激光传感器,渠道分销,29,8642.25,725.81
2025-01-09 03:36:19.875975195,华东大区,智能硬件,智能手环V2,线下直销,66,21012.29,2801.56
2025-01-09 06:01:13.454690938,西部大区,智能硬件,激光传感器,线下直销,82,23663.36,2724.99
2025-01-09 08:26:07.033406681,华东大区,汽车零部件,液压底盘件,渠道分销,31,40801.05,5557.08
2025-01-09 10:51:00.612122424,华南大区,汽车零部件,精密齿轮,线上电商,88,97675.32,8411.28
2025-01-09 13:15:54.190838167,华东大区,医疗耗材,诊断试剂盒,线下直销,54,7606.57,734.96
2025-01-09 15:40:47.769553910,华南大区,智能硬件,智能手环V2,线下直销,26,7184.08,827.65
2025-01-09 18:05:41.348269653,华南大区,智能硬件,智能手环V2,渠道分销,21,6401.91,736.62
2025-01-09 20:30:34.926985397,华南大区,汽车零部件,精密齿轮,线下直销,39,50840.87,5039.15
2025-01-09 22:55:28.505701140,华东大区,汽车零部件,液压底盘件,渠道分销,96,120624.87,16524.62
2025-01-10 01:20:22.084416883,华南大区,医疗耗材,高分子医用导管,线下直销,73,10414.67,1125.96
2025-01-10 03:45:15.663132626,华北大区,智能硬件,智能手环V2,线下直销,48,15002.93,1551.65
2025-01-10 06:10:09.241848369,华东大区,汽车零部件,精密齿轮,渠道分销,72,85781.11,12262.66
2025-01-10 08:35:02.820564112,华北大区,智能硬件,智能手环V2,线上电商,78,25165.12,3019.37
2025-01-10 10:59:56.399279856,华南大区,汽车零部件,精密齿轮,渠道分销,78,90280.75,10693.6
2025-01-10 13:24:49.977995599,华北大区,汽车零部件,轻量化轮毂,渠道分销,96,123959.73,14854.23
2025-01-10 15:49:43.556711342,华东大区,汽车零部件,液压底盘件,线上电商,91,99882.19,9054.05
2025-01-10 18:14:37.135427085,华南大区,智能硬件,激光传感器,线上电商,28,8437.45,831.47
2025-01-10 20:39:30.714142828,华北大区,汽车零部件,液压底盘件,渠道分销,15,17560.94,1512.8
2025-01-10 23:04:24.292858571,华北大区,汽车零部件,精密齿轮,线下直销,16,17620.52,2310.79
2025-01-11 01:29:17.871574314,华北大区,医疗耗材,高分子医用导管,线下直销,98,14766.43,2043.32
2025-01-11 03:54:11.450290058,华东大区,智能硬件,车载智能模块,渠道分销,11,3229.68,350.14
2025-01-11 06:19:05.029005801,西部大区,智能硬件,激光传感器,线上电商,62,16832.56,1888.64
2025-01-11 08:43:58.607721544,华北大区,医疗耗材,高分子医用导管,线下直销,88,13949.89,1540.64
2025-01-11 11:08:52.186437287,华东大区,汽车零部件,液压底盘件,渠道分销,75,97336.77,9240.48
2025-01-11 13:33:45.765153030,华南大区,汽车零部件,轻量化轮毂,渠道分销,71,76944.91,8313.65
2025-01-11 15:58:39.343868773,华东大区,汽车零部件,轻量化轮毂,渠道分销,27,30977.85,2674.28
2025-01-11 18:23:32.922584516,西部大区,智能硬件,智能手环V2,渠道分销,50,14903.37,1951.56
2025-01-11 20:48:26.501300260,华东大区,汽车零部件,轻量化轮毂,线上电商,82,98065.1,10477.01
2025-01-11 23:13:20.080016003,华北大区,医疗耗材,高分子医用导管,线下直销,19,3115.2,374.19
2025-01-12 01:38:13.658731746,华北大区,智能硬件,车载智能模块,线下直销,25,7895.93,822.92
2025-01-12 04:03:07.237447489,华东大区,医疗耗材,诊断试剂盒,线上电商,56,9173.66,770.31
2025-01-12 06:28:00.816163232,华东大区,汽车零部件,精密齿轮,线下直销,49,61684.58,7005.16
2025-01-12 08:52:54.394878975,华东大区,汽车零部件,液压底盘件,线上电商,22,28594.25,2911.32
2025-01-12 11:17:47.973594718,华东大区,智能硬件,激光传感器,渠道分销,17,4890.7,530.94
2025-01-12 13:42:41.552310462,华东大区,汽车零部件,轻量化轮毂,线上电商,29,34009.58,2996.96
2025-01-12 16:07:35.131026205,华南大区,智能硬件,激光传感器,渠道分销,16,4326.78,555.51
2025-01-12 18:32:28.709741948,华北大区,智能硬件,车载智能模块,线上电商,42,13785.63,1568.29
2025-01-12 20:57:22.288457691,华东大区,医疗耗材,诊断试剂盒,线下直销,84,12697.38,1569.34
2025-01-12 23:22:15.867173434,华南大区,医疗耗材,诊断试剂盒,线下直销,98,13765.97,1760.71
2025-01-13 01:47:09.445889177,华南大区,汽车零部件,液压底盘件,线下直销,79,100506.89,12364.49
2025-01-13 04:12:03.024604921,华北大区,汽车零部件,精密齿轮,渠道分销,48,55297.7,5326.75
2025-01-13 06:36:56.603320664,华东大区,智能硬件,智能手环V2,线上电商,11,3467.54,439.54
2025-01-13 09:01:50.182036407,华南大区,汽车零部件,精密齿轮,渠道分销,81,89333.45,9558.03
2025-01-13 11:26:43.760752150,华北大区,医疗耗材,诊断试剂盒,渠道分销,73,10834.56,917.7
2025-01-13 13:51:37.339467893,华北大区,医疗耗材,诊断试剂盒,线下直销,34,5201.81,672.63
2025-01-13 16:16:30.918183636,华北大区,智能硬件,智能手环V2,线下直销,74,21343.45,3132.46
2025-01-13 18:41:24.496899379,华南大区,汽车零部件,精密齿轮,线下直销,55,71734.47,6562.7
2025-01-13 21:06:18.075615123,华东大区,智能硬件,智能手环V2,渠道分销,51,14837.85,1641.41
2025-01-13 23:31:11.654330866,华南大区,智能硬件,车载智能模块,渠道分销,59,18715.46,1998.45
2025-01-14 01:56:05.233046609,华南大区,汽车零部件,液压底盘件,线上电商,75,91291.03,12877.31
2025-01-14 04:20:58.811762352,华东大区,医疗耗材,诊断试剂盒,线上电商,58,8896.03,732.6
2025-01-14 06:45:52.390478095,华东大区,智能硬件,激光传感器,线上电商,80,25018.49,3379.21
2025-01-14 09:10:45.969193838,华南大区,汽车零部件,精密齿轮,渠道分销,28,34909.83,4421.54
2025-01-14 11:35:39.547909582,华东大区,汽车零部件,轻量化轮毂,线上电商,29,34585.01,4100.18
2025-01-14 14:00:33.126625325,西部大区,汽车零部件,轻量化轮毂,渠道分销,64,80322.27,7884.36
2025-01-14 16:25:26.705341068,华东大区,汽车零部件,精密齿轮,线上电商,82,103088.94,11353.32
2025-01-14 18:50:20.284056811,华东大区,医疗耗材,诊断试剂盒,线下直销,66,9453.27,782.21
2025-01-14 21:15:13.862772554,华东大区,医疗耗材,高分子医用导管,线下直销,90,13245.91,1743.44
2025-01-14 23:40:07.441488297,华东大区,智能硬件,车载智能模块,线上电商,72,22342.13,2800.95
2025-01-15 02:05:01.020204040,华南大区,汽车零部件,轻量化轮毂,渠道分销,73,89882.34,12432.93
2025-01-15 04:29:54.598919784,华东大区,汽车零部件,精密齿轮,线上电商,80,104069.57,14080.18
2025-01-15 06:54:48.177635527,华南大区,汽车零部件,液压底盘件,线下直销,68,78334.24,6796.72
2025-01-15 09:19:41.756351270,华东大区,智能硬件,激光传感器,渠道分销,75,23499.51,3362.17
2025-01-15 11:44:35.335067013,西部大区,智能硬件,车载智能模块,线上电商,75,22848.37,2339.67
2025-01-15 14:09:28.913782756,华南大区,汽车零部件,液压底盘件,线上电商,44,51881.46,5271.24
2025-01-15 16:34:22.492498499,华北大区,智能硬件,智能手环V2,线上电商,29,9024.46,762.97
2025-01-15 18:59:16.071214242,华东大区,智能硬件,激光传感器,渠道分销,95,27525.14,2717.28
2025-01-15 21:24:09.649929986,华东大区,智能硬件,智能手环V2,渠道分销,15,4163.77,460.35
2025-01-15 23:49:03.228645729,华南大区,汽车零部件,精密齿轮,渠道分销,21,25509.86,2956.21
2025-01-16 02:13:56.807361472,华南大区,医疗耗材,诊断试剂盒,线上电商,39,5302.69,708.38
2025-01-16 04:38:50.386077215,华南大区,医疗耗材,诊断试剂盒,线下直销,66,9990.34,1217.8
2025-01-16 07:03:43.964792958,华东大区,医疗耗材,诊断试剂盒,线下直销,59,9520.89,990.92
2025-01-16 09:28:37.543508701,华东大区,智能硬件,车载智能模块,线下直销,46,13451.34,1887.87
2025-01-16 11:53:31.122224444,西部大区,汽车零部件,精密齿轮,渠道分销,46,49707.24,5817.42
2025-01-16 14:18:24.700940188,华东大区,汽车零部件,液压底盘件,线上电商,61,76448.85,10529.97
2025-01-16 16:43:18.279655931,华东大区,智能硬件,智能手环V2,渠道分销,16,4857.32,426.23
2025-01-16 19:08:11.858371674,华东大区,汽车零部件,精密齿轮,渠道分销,12,13043.35,1095.96
2025-01-16 21:33:05.437087417,华东大区,医疗耗材,高分子医用导管,渠道分销,33,5029.48,402.78
2025-01-16 23:57:59.015803160,西部大区,智能硬件,激光传感器,线下直销,15,4824.04,500.7
2025-01-17 02:22:52.594518903,华东大区,智能硬件,智能手环V2,渠道分销,45,13812.55,1455.33
2025-01-17 04:47:46.173234647,华东大区,医疗耗材,诊断试剂盒,渠道分销,95,15431.75,1886.27
2025-01-17 07:12:39.751950390,华东大区,医疗耗材,诊断试剂盒,渠道分销,74,10829.03,1584.45
2025-01-17 09:37:33.330666133,华东大区,智能硬件,车载智能模块,线下直销,75,23792.98,3394.5
2025-01-17 12:02:26.909381876,华东大区,智能硬件,激光传感器,线下直销,68,20965.57,2350.76
2025-01-17 14:27:20.488097619,华南大区,汽车零部件,液压底盘件,渠道分销,23,27978.72,2599.59
2025-01-17 16:52:14.066813362,华东大区,汽车零部件,轻量化轮毂,线下直销,29,34551.85,4370.27
2025-01-17 19:17:07.645529105,西部大区,医疗耗材,高分子医用导管,线上电商,35,5408.47,550.78
2025-01-17 21:42:01.224244849,华东大区,汽车零部件,轻量化轮毂,线下直销,37,46429.81,5084.44
2025-01-18 00:06:54.802960592,华东大区,智能硬件,激光传感器,线下直销,61,19817.1,2545.08
2025-01-18 02:31:48.381676335,华东大区,医疗耗材,高分子医用导管,渠道分销,63,9208.16,953.05
2025-01-18 04:56:41.960392078,华东大区,智能硬件,车载智能模块,渠道分销,71,21797.06,2811.63
2025-01-18 07:21:35.539107821,华东大区,医疗耗材,高分子医用导管,线下直销,34,4613.07,538.09
2025-01-18 09:46:29.117823564,西部大区,医疗耗材,高分子医用导管,线上电商,87,13873.58,1975.62
2025-01-18 12:11:22.696539307,西部大区,医疗耗材,高分子医用导管,线上电商,87,11935.15,1037.35
2025-01-18 14:36:16.275255051,西部大区,汽车零部件,轻量化轮毂,线下直销,53,65494.66,8685.97
2025-01-18 17:01:09.853970794,华东大区,汽车零部件,精密齿轮,渠道分销,21,24496.88,3268.53
2025-01-18 19:26:03.432686537,华南大区,汽车零部件,液压底盘件,线下直销,61,76758.27,10079.24
2025-01-18 21:50:57.011402280,西部大区,医疗耗材,高分子医用导管,线下直销,42,6841.79,949.49
2025-01-19 00:15:50.590118023,华东大区,汽车零部件,液压底盘件,线上电商,55,72579.83,8477.71
2025-01-19 02:40:44.168833766,西部大区,智能硬件,激光传感器,线上电商,55,17711.95,2136.78
2025-01-19 05:05:37.747549509,华东大区,智能硬件,车载智能模块,渠道分销,17,5037.35,708.43
2025-01-19 07:30:31.326265253,华北大区,智能硬件,智能手环V2,线下直销,91,26011.59,3700.77
2025-01-19 09:55:24.904980996,华东大区,智能硬件,智能手环V2,线下直销,17,4679.38,603.63
2025-01-19 12:20:18.483696739,华东大区,汽车零部件,精密齿轮,线下直销,29,36658.36,3533.42
2025-01-19 14:45:12.062412482,华南大区,医疗耗材,诊断试剂盒,渠道分销,34,4943.83,487.36
2025-01-19 17:10:05.641128225,华东大区,智能硬件,激光传感器,线上电商,59,17842.12,1584.58
2025-01-19 19:34:59.219843968,华南大区,智能硬件,智能手环V2,线下直销,86,25505.3,2537.72
2025-01-19 21:59:52.798559712,华东大区,汽车零部件,液压底盘件,线上电商,74,97362.01,10038.66
2025-01-20 00:24:46.377275455,华北大区,智能硬件,智能手环V2,渠道分销,92,29746.27,3863.1
2025-01-20 02:49:39.955991198,华东大区,汽车零部件,轻量化轮毂,渠道分销,92,114067.3,14011.59
2025-01-20 05:14:33.534706941,华东大区,医疗耗材,高分子医用导管,渠道分销,32,5138.77,552.34
2025-01-20 07:39:27.113422684,华南大区,医疗耗材,高分子医用导管,线上电商,54,7736.01,836.22
2025-01-20 10:04:20.692138427,华东大区,智能硬件,智能手环V2,线上电商,21,6246.86,749.05
2025-01-20 12:29:14.270854170,华东大区,医疗耗材,诊断试剂盒,线下直销,76,10384.82,1079.97
2025-01-20 14:54:07.849569914,华东大区,汽车零部件,液压底盘件,渠道分销,46,56958.97,7633.12
2025-01-20 17:19:01.428285657,华东大区,汽车零部件,精密齿轮,渠道分销,24,28789.48,2637.46
2025-01-20 19:43:55.007001400,华南大区,汽车零部件,精密齿轮,渠道分销,88,115296.27,10101.82
2025-01-20 22:08:48.585717143,华北大区,智能硬件,激光传感器,渠道分销,85,27974.49,2650.89
2025-01-21 00:33:42.164432886,华南大区,医疗耗材,高分子医用导管,线下直销,11,1580.48,206.75
2025-01-21 02:58:35.743148629,华东大区,智能硬件,车载智能模块,线下直销,40,11986.74,1607.46
2025-01-21 05:23:29.321864372,华南大区,智能硬件,激光传感器,线下直销,94,25464.37,2263.28
2025-01-21 07:48:22.900580116,华东大区,汽车零部件,精密齿轮,线上电商,86,94828.86,10778.83
2025-01-21 10:13:16.479295859,华东大区,智能硬件,智能手环V2,渠道分销,16,4983.75,557.77
2025-01-21 12:38:10.058011602,华东大区,智能硬件,车载智能模块,线上电商,24,7712.0,1055.91
2025-01-21 15:03:03.636727345,华东大区,汽车零部件,精密齿轮,线下直销,11,11891.03,1782.75
2025-01-21 17:27:57.215443088,华东大区,智能硬件,激光传感器,线上电商,98,30348.36,4011.83
2025-01-21 19:52:50.794158831,西部大区,汽车零部件,液压底盘件,渠道分销,82,90510.85,8909.7
2025-01-21 22:17:44.372874575,华东大区,医疗耗材,诊断试剂盒,渠道分销,41,6520.24,963.96
2025-01-22 00:42:37.951590318,华东大区,医疗耗材,高分子医用导管,线上电商,23,3743.65,513.71
2025-01-22 03:07:31.530306061,华东大区,汽车零部件,精密齿轮,线上电商,94,110476.46,13386.34
2025-01-22 05:32:25.109021804,华北大区,医疗耗材,诊断试剂盒,线上电商,82,12612.83,1742.61
2025-01-22 07:57:18.687737547,华东大区,汽车零部件,轻量化轮毂,渠道分销,53,60864.89,6570.45
2025-01-22 10:22:12.266453290,华东大区,智能硬件,车载智能模块,渠道分销,44,12105.19,1681.65
2025-01-22 12:47:05.845169033,华东大区,汽车零部件,液压底盘件,渠道分销,63,78956.71,7488.65
2025-01-22 15:11:59.423884777,华东大区,医疗耗材,高分子医用导管,线上电商,56,7572.5,631.22
2025-01-22 17:36:53.002600520,华东大区,智能硬件,智能手环V2,线上电商,47,13401.85,1137.23
2025-01-22 20:01:46.581316263,华东大区,汽车零部件,精密齿轮,线上电商,94,116207.66,14818.7
2025-01-22 22:26:40.160032006,华南大区,医疗耗材,诊断试剂盒,线上电商,94,14450.57,1435.75
2025-01-23 00:51:33.738747749,华东大区,医疗耗材,高分子医用导管,线下直销,23,3476.22,460.09
2025-01-23 03:16:27.317463492,华东大区,智能硬件,激光传感器,线下直销,39,10647.92,970.82
2025-01-23 05:41:20.896179235,华东大区,医疗耗材,诊断试剂盒,线下直销,28,4205.29,548.91
2025-01-23 08:06:14.474894979,华东大区,智能硬件,车载智能模块,线上电商,75,21477.06,3191.75
2025-01-23 10:31:08.053610722,华东大区,智能硬件,车载智能模块,线上电商,19,5450.25,662.47
2025-01-23 12:56:01.632326465,华东大区,智能硬件,智能手环V2,线下直销,85,26685.34,2138.07
2025-01-23 15:20:55.211042208,华东大区,智能硬件,车载智能模块,渠道分销,63,19638.99,1919.11
2025-01-23 17:45:48.789757951,华北大区,智能硬件,智能手环V2,线上电商,19,5353.76,519.54
2025-01-23 20:10:42.368473694,华东大区,智能硬件,激光传感器,线上电商,29,8124.4,1031.65
2025-01-23 22:35:35.947189437,华东大区,智能硬件,激光传感器,线下直销,26,7461.31,856.17
2025-01-24 01:00:29.525905181,华南大区,医疗耗材,诊断试剂盒,渠道分销,39,5970.63,609.24
2025-01-24 03:25:23.104620924,华北大区,汽车零部件,精密齿轮,线上电商,88,104653.38,12404.38
2025-01-24 05:50:16.683336667,华东大区,智能硬件,智能手环V2,渠道分销,13,4206.95,525.74
2025-01-24 08:15:10.262052410,华南大区,医疗耗材,高分子医用导管,线上电商,10,1405.66,140.72
2025-01-24 10:40:03.840768153,华南大区,智能硬件,智能手环V2,渠道分销,22,6605.78,966.72
2025-01-24 13:04:57.419483896,华东大区,智能硬件,智能手环V2,渠道分销,21,6400.72,879.98
2025-01-24 15:29:50.998199640,华东大区,智能硬件,智能手环V2,线上电商,62,18674.81,2066.74
2025-01-24 17:54:44.576915383,华东大区,医疗耗材,高分子医用导管,渠道分销,91,13109.7,1151.63
2025-01-24 20:19:38.155631126,华东大区,汽车零部件,精密齿轮,线下直销,42,50474.33,4578.2
2025-01-24 22:44:31.734346869,华东大区,智能硬件,激光传感器,线上电商,17,5608.84,618.64
2025-01-25 01:09:25.313062612,华北大区,医疗耗材,高分子医用导管,渠道分销,36,5875.43,815.58
2025-01-25 03:34:18.891778355,华东大区,汽车零部件,轻量化轮毂,渠道分销,11,13817.59,1902.27
2025-01-25 05:59:12.470494098,华东大区,汽车零部件,轻量化轮毂,线上电商,32,34755.03,4326.6
2025-01-25 08:24:06.049209842,西部大区,汽车零部件,轻量化轮毂,线上电商,86,109211.22,13972.63
2025-01-25 10:48:59.627925585,华东大区,智能硬件,车载智能模块,线上电商,32,9941.7,1201.05
2025-01-25 13:13:53.206641328,华南大区,汽车零部件,精密齿轮,渠道分销,13,17094.0,2491.4
2025-01-25 15:38:46.785357071,华南大区,汽车零部件,轻量化轮毂,线上电商,29,37380.36,3759.68
2025-01-25 18:03:40.364072814,华南大区,智能硬件,智能手环V2,线下直销,92,25677.84,2812.42
2025-01-25 20:28:33.942788557,华东大区,智能硬件,智能手环V2,线下直销,13,3899.91,558.03
2025-01-25 22:53:27.521504300,华东大区,智能硬件,激光传感器,渠道分销,36,10196.88,1393.77
2025-01-26 01:18:21.100220044,华南大区,智能硬件,智能手环V2,线下直销,19,5694.14,764.54
2025-01-26 03:43:14.678935787,华东大区,汽车零部件,精密齿轮,线上电商,49,54007.3,6905.48
2025-01-26 06:08:08.257651530,华东大区,汽车零部件,轻量化轮毂,线上电商,52,66912.79,8606.53
2025-01-26 08:33:01.836367273,华东大区,智能硬件,激光传感器,线上电商,42,12371.68,1634.79
2025-01-26 10:57:55.415083016,西部大区,医疗耗材,诊断试剂盒,渠道分销,58,8461.88,712.24
2025-01-26 13:22:48.993798759,华南大区,智能硬件,智能手环V2,线下直销,55,15293.6,1767.22
2025-01-26 15:47:42.572514502,华北大区,汽车零部件,液压底盘件,渠道分销,85,100832.14,13397.12
2025-01-26 18:12:36.151230246,华东大区,智能硬件,激光传感器,线上电商,79,23640.05,2602.82
2025-01-26 20:37:29.729945989,华东大区,智能硬件,智能手环V2,线上电商,14,4469.53,540.14
2025-01-26 23:02:23.308661732,华东大区,医疗耗材,高分子医用导管,线上电商,55,7479.97,628.06
2025-01-27 01:27:16.887377475,西部大区,汽车零部件,液压底盘件,线下直销,30,34510.89,4959.96
2025-01-27 03:52:10.466093218,华东大区,医疗耗材,诊断试剂盒,线下直销,28,4142.73,576.35
